time,location_id,temp_max,humidity,precipitation,location_wkt
2026-05-21 03:00:00+00:00,-31.9038_-61.2771,,,,POINT(-61.2770597 -31.9037969)
2026-05-22 03:00:00+00:00,-31.9038_-61.2771,,,,POINT(-61.2770597 -31.9037969)
2026-05-23 03:00:00+00:00,-31.9038_-61.2771,,,,POINT(-61.2770597 -31.9037969)
2026-05-21 03:00:00+00:00,-27.7700_-65.5884,,,,POINT(-65.5883539 -27.7700082)
2026-05-22 03:00:00+00:00,-27.7700_-65.5884,,,,POINT(-65.5883539 -27.7700082)
2026-05-23 03:00:00+00:00,-27.7700_-65.5884,,,,POINT(-65.5883539 -27.7700082)
2026-05-21 03:00:00+00:00,-27.2178_-61.1874,,,,POINT(-61.1873712 -27.2178115)
2026-05-22 03:00:00+00:00,-27.2178_-61.1874,,,,POINT(-61.1873712 -27.2178115)
2026-05-23 03:00:00+00:00,-27.2178_-61.1874,,,,POINT(-61.1873712 -27.2178115)
2026-05-21 03:00:00+00:00,-32.0253_-61.2197,,,,POINT(-61.2196794 -32.0253403)
2026-05-22 03:00:00+00:00,-32.0253_-61.2197,,,,POINT(-61.2196794 -32.0253403)
2026-05-23 03:00:00+00:00,-32.0253_-61.2197,,,,POINT(-61.2196794 -32.0253403)
2026-05-21 03:00:00+00:00,-27.5247_-58.7663,,,,POINT(-58.7662564 -27.5246618)
2026-05-22 03:00:00+00:00,-27.5247_-58.7663,,,,POINT(-58.7662564 -27.5246618)
2026-05-23 03:00:00+00:00,-27.5247_-58.7663,,,,POINT(-58.7662564 -27.5246618)
2026-05-21 03:00:00+00:00,-31.5525_-61.0777,,,,POINT(-61.0777138 -31.5525222)
2026-05-22 03:00:00+00:00,-31.5525_-61.0777,,,,POINT(-61.0777138 -31.5525222)
2026-05-23 03:00:00+00:00,-31.5525_-61.0777,,,,POINT(-61.0777138 -31.5525222)
2026-05-21 03:00:00+00:00,-31.4009_-61.0820,,,,POINT(-61.0820117 -31.4008645)
2026-05-22 03:00:00+00:00,-31.4009_-61.0820,,,,POINT(-61.0820117 -31.4008645)
2026-05-23 03:00:00+00:00,-31.4009_-61.0820,,,,POINT(-61.0820117 -31.4008645)
