id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
4274,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Chaco,Palo blanco,9.0,,POINT(-61.592597 -26.6118635)
8260,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Buenos Aires,Catriló,0.0,,POINT(-58.521334 -34.6696654)
4276,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Chaco,Castelli,20.0,,POINT(-62.7128792 -25.4551276)
8261,2025-09-02 03:00:00+00:00,Dalbulus maidis,Unknown,INTA,Buenos Aires,Chivilcoy,,,POINT(-60.0190499 -34.8969591)
4278,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Chaco,Charata,,,POINT(-61.1873712 -27.2178115)
4279,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Chaco,Gancedo,,,POINT(-61.6764798 -27.4907695)
8262,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Buenos Aires,Pergamino,0.0,,POINT(-60.5696 -33.8899)
4281,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,INTA,Formosa,El colorado,2.0,,POINT(-59.3720661 -26.3083815)
4282,2026-01-21 03:00:00+00:00,Dalbulus maidis,Explosive,INTA,Formosa,Comandante Fontana,155.0,,POINT(-59.6848511 -25.3335851)
4283,2026-01-21 03:00:00+00:00,Dalbulus maidis,Explosive,CREA,Formosa,Perin,112.0,,POINT(-59.9655158 -25.5671358)
4284,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Formosa,Las Lomitas,,,POINT(-60.5931 -24.7081)
4285,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,AAPPCE,Santa Fe,Villa Minetti,0.0,,POINT(-61.6266091 -28.6227503)
4286,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,AAPPCE,Santa Fe,El Guanagan,2.0,,POINT(-60.8 -30.9)
8263,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Buenos Aires,Conesa,0.0,,POINT(-60.3558532 -33.5957269)
8264,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Buenos Aires,San antonio de Areco,0.0,,POINT(-59.4734187 -34.2437294)
4289,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,Emilia,5.0,,POINT(-60.745031 -31.0589655)
4290,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Santa Fe,Reconquista,62.0,,POINT(-59.6437728 -29.1443478)
4291,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Santa Fe,Calchaquí,33.0,,POINT(-60.2832099 -29.8878656)
4292,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Santa Fe,Logroño,0.0,,POINT(-61.6961816 -29.5038105)
4293,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,INTA,Santa Fe,San javier,,,POINT(-59.9280841 -30.5815988)
4294,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Santa Fe,La sarita,33.0,,POINT(-59.8504271 -28.973039)
4295,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santa Fe,La Pelada,0.0,,POINT(-60.9683813 -30.8663481)
4296,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,Ambrosetti,10.0,,POINT(-61.5743553 -30.0148049)
4297,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,La Penca y Caraguatá,7.0,,POINT(-60.5206908 -30.3458382)
4298,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santa Fe,Ramayón,4.0,,POINT(-60.5035744 -30.6725959)
4299,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santa Fe,Margarita,2.0,,POINT(-60.2532273 -29.6875707)
4300,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santa Fe,Vera y Pintado,2.0,,POINT(-60.3368778 -30.1432165)
4301,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,La María,15.0,,POINT(-60.734132 -33.1656751)
4302,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,La Osca,5.0,,POINT(-0.3307652 42.772296)
4303,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,Malabrigo,7.0,,POINT(-59.9700883 -29.3489728)
4304,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santa Fe,Soledad,0.0,,POINT(-60.9144282 -30.6196133)
4305,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santa Fe,Colonia Esther,2.0,,POINT(-60.6448978 -31.0412201)
4306,2026-01-21 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Santa Fe,Arroyo Ceibal,,,POINT(-59.7167 -29.0167)
4308,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPPCE,Santiago del Estero,Weisburd,5.0,,POINT(-62.6167 -27.2833)
